trace_id,trace_rank,question_level,trace_start,trace_end,span_count,trace_total_duration_ms,tokens_total,tokens_input_total,tokens_output_total,tokens_reasoning_total,evaluator_tokens_total,search_tokens_total,planner_tokens_total,writer_tokens_total,judge_tokens_total,planner_input_tokens,judge_input_tokens,evaluator_input_tokens,writer_input_tokens,search_input_tokens,evaluator_output_tokens,writer_output_tokens,judge_output_tokens,search_output_tokens,planner_output_tokens,judge_tokens_reasoning,planner_tokens_reasoning,search_tokens_reasoning,writer_tokens_reasoning,evaluator_tokens_reasoning,judge_duration_ms,writer_duration_ms,evaluator_duration_ms,search_duration_ms,planner_duration_ms
01989bd8d569460fe434f25a2e2d4132,11,L2,2025-08-12T01:15:35.657356+0000,2025-08-12T01:17:25.942371+0000,22,110285,6505,4400,2105,1408,841,1521,1287,1809,1047,302,954,634,1394,1116,207,415,93,405,985,64,896,0,256,192,6290,19323,8742,60969,27523
01989bd8d567099ffd53384881cf1934,12,L2,2025-08-12T01:15:35.655632+0000,2025-08-12T01:17:35.512605+0000,25,119856,15344,11186,4158,2048,1371,8646,1287,2565,1475,323,1244,844,1814,6961,527,751,231,1685,964,192,832,0,512,512,10671,28198,15450,238420,28972
01989bd8d564a205accf81e5155faca2,13,L2,2025-08-12T01:15:35.652712+0000,2025-08-12T01:28:28.984678+0000,46,773331,358478,318623,39855,12736,4949,325069,2034,18853,7573,445,5780,3734,9242,299422,1215,9611,1793,25647,1589,1664,1344,0,8640,1088,58363,323330,38308,2547483,43378
01989bd8d44d4c0207e809d99c8e2cc8,14,L2,2025-08-12T01:15:35.373639+0000,2025-08-12T01:22:40.050065+0000,25,424676,146073,129481,16592,4224,1221,135147,3110,4570,2025,298,1929,770,3306,123178,451,1264,96,11969,2812,64,2688,0,1088,384,5418,68367,14587,965786,90939
01989bd8d44b98a1a099b83af4dc28a4,15,L2,2025-08-12T01:15:35.371925+0000,2025-08-12T01:17:40.303393+0000,25,124931,8699,5380,3319,2432,1235,2291,1739,2235,1199,340,1046,588,1682,1724,647,553,153,567,1399,128,1280,0,448,576,6736,30756,18083,91004,40175
01989bd8d449833dc708414242408f8e,16,L2,2025-08-12T01:15:35.369128+0000,2025-08-12T01:17:28.441213+0000,19,113072,14145,12081,2064,960,560,5421,1949,3975,2240,1506,2080,417,3348,4730,143,627,160,691,443,128,384,0,320,128,7803,32389,6009,59741,17613
01989bd8d440dc8698aa25c79c9cf4db,17,L2,2025-08-12T01:15:35.360555+0000,2025-08-12T01:26:39.699407+0000,52,664338,164847,127629,37218,24448,5909,121690,1887,29815,5546,357,4943,3911,8670,109748,1998,21145,603,11942,1530,512,1344,0,20736,1856,25118,859533,55889,1331441,50619
01989bd8d43e6f190a4c2514295e004b,18,L2,2025-08-12T01:15:35.358231+0000,2025-08-12T01:18:14.083597+0000,22,158725,15272,9554,5718,3968,1431,7654,1313,3768,1106,342,1017,511,1340,6344,920,2428,89,1310,971,64,896,0,2176,832,4347,113153,29694,159608,31845
01989bd8d43b2c9f8dd2bb938dc7b328,19,L2,2025-08-12T01:15:35.355716+0000,2025-08-12T01:18:57.983761+0000,34,202628,31026,20925,10101,6720,1671,19011,5049,3728,1567,367,1350,877,2140,16191,794,1588,217,2820,4682,192,4416,0,1408,704,8586,59408,25703,344870,121219
01989bd8d439ac0183614804ac4e1644,20,L2,2025-08-12T01:15:35.353011+0000,2025-08-12T01:25:41.922254+0000,34,606569,422774,386413,36361,5824,2899,408706,3127,5817,2225,341,2199,1345,3714,378814,1554,2103,26,29892,2786,0,2560,0,1856,1408,4946,107808,48756,3100600,75531
01989bd8d4366acc15a11752e8fe9b3f,21,L1,2025-08-12T01:15:35.350649+0000,2025-08-12T01:18:03.956149+0000,40,148605,73481,59270,14211,2496,3356,53267,2036,10118,4704,1266,4615,2537,8510,42342,819,1608,89,10925,770,64,448,0,1344,640,5608,70411,23885,435367,24123
01989bd8d42d43b2e016ef2e81e7ec83,22,L1,2025-08-12T01:15:35.341512+0000,2025-08-12T01:17:47.489602+0000,19,132148,4289,3048,1241,832,587,748,614,1521,819,307,730,443,1012,556,144,509,89,192,307,64,256,0,384,128,7115,72135,46078,79115,13188
01989bd8d42ba7dfa262f20c3a86eec8,23,L1,2025-08-12T01:15:35.339008+0000,2025-08-12T01:18:05.583326+0000,22,150244,15767,9257,6510,4864,1085,6033,1812,4063,2774,641,1274,577,2062,4703,508,2001,1500,1330,1171,1472,1088,0,1856,448,44711,80779,17611,70334,29709
01989bd8d4147a59bc62c0b24c321e17,24,L1,2025-08-12T01:15:35.316571+0000,2025-08-12T01:19:57.974464+0000,28,262657,67947,60862,7085,2304,2156,60644,827,2918,1402,320,1311,858,2112,56261,1298,806,91,4383,507,64,384,0,640,1216,8884,42279,44209,710833,16132
01989bd8d4126be47a65b612098d70fa,25,L1,2025-08-12T01:15:35.314926+0000,2025-08-12T01:18:04.239110+0000,37,148924,17797,11111,6686,4608,1921,5427,3589,4492,2368,321,2135,1132,3622,3901,789,870,233,1526,3268,192,3072,0,640,704,12128,45845,22611,209485,158379
01989bd8d411f80b2dc9b1d27b1cf672,26,L1,2025-08-12T01:15:35.313287+0000,2025-08-12T01:18:32.153119+0000,34,176839,40087,32590,7497,1280,1184,32365,1033,3558,1947,304,1858,570,3080,26778,614,478,89,5587,729,64,576,0,256,384,4123,23902,21357,448115,26901
01989bd8d40fe8eb65389ca13c4c4454,27,L1,2025-08-12T01:15:35.311495+0000,2025-08-12T01:30:34.355943+0000,64,899044,309664,272048,37616,13696,5678,274046,870,21910,7160,307,6140,3576,10728,251297,2102,11182,1020,22749,563,832,448,0,10688,1728,36330,495217,65808,2247746,20996
01989bd8d40deec2005180b4c48b1866,28,L1,2025-08-12T01:15:35.309825+0000,2025-08-12T01:27:06.386704+0000,40,691076,243740,208492,35248,15872,2678,217263,4495,16207,3097,719,2944,1342,4572,198915,1336,11635,153,18348,3776,128,3456,0,11072,1216,10551,410106,34894,2534846,90258
01989bd8d40c6ec0acd627e084f3c29c,29,L1,2025-08-12T01:15:35.308014+0000,2025-08-12T01:20:40.762606+0000,28,305454,150769,134714,16055,3584,1985,140596,982,4188,3018,305,1713,1272,2844,128580,713,1344,1305,12016,677,1280,512,0,1152,640,34242,48400,23247,840128,24709
01989bd8d4066bc0e91dac39c28ad592,30,L1,2025-08-12T01:15:35.302255+0000,2025-08-12T01:19:11.647155+0000,25,216344,17565,5444,12121,11136,2034,2205,1466,10308,1552,349,1206,565,1636,1688,1469,8672,346,517,1117,320,1024,0,8384,1408,11445,295096,36922,86991,38476
